lambda,heldout,variant_label,method,utility,ci95_low,ci95_high,delta_vs_fixed,delta_ci95_low,delta_ci95_high,stable_positive_vs_fixed,oracle_gap,n
0.2,block3_h48_seed10,"3-block, H=48",rf_expected_utility,0.8417552713632929,0.8092280684076132,0.8742280201198463,0.010858546239665427,-0.009088710412374135,0.03292735924678751,False,0.07074121778760001,402
0.2,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,0.8395731621369719,0.8070412672690135,0.871685030411343,0.008676437013344595,-0.016126137075826674,0.03534651935793451,False,0.07292332701392101,402
0.2,block3_h48_seed10,"3-block, H=48",rf_oracle_label,0.8415190900787315,0.8090331164345944,0.8712956403614428,0.010622364955104217,-0.01225518789311756,0.03452218266236859,False,0.07097739907216138,402
0.3,block3_h48_seed10,"3-block, H=48",best_fixed_Tiny,0.8122654856953914,0.77992717723768,0.8446037941531028,0.0,0.0,0.0,False,0.08011108882696827,402
0.3,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.8923765745223596,0.870266408961494,0.911284460116252,0.08011108882696827,,,True,0.0,402
0.3,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,0.8417476283370285,0.8113019567220597,0.8692802750425379,0.02948214264163705,0.013779698127762448,0.04655870468072337,True,0.05062894618533109,402
0.3,block3_h48_seed10,"3-block, H=48",rf_expected_utility,0.8203999562612501,0.7876090407325663,0.8522241016514179,0.00813447056585854,-0.013696826313030052,0.030365318643601008,False,0.07197661826110957,402
0.3,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,0.820305016837299,0.7876875781580753,0.8530571683525561,0.008039531141907433,-0.016523039378439477,0.03311279925716513,False,0.07207155768506068,402
0.3,block3_h48_seed10,"3-block, H=48",rf_oracle_label,0.8219801276554112,0.7896811264472403,0.8522595922694134,0.009714641960019503,-0.013856323676589297,0.03273307465019504,False,0.07039644686694846,402
0.0,block3_h72_seed14,"3-block, H=72",best_fixed_Medium,0.8426150121065376,0.8062953995157385,0.8765133171912833,0.0,0.0,0.0,False,0.09927360774818395,413
0.0,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.9418886198547215,0.9200968523002422,0.9612590799031477,0.09927360774818395,,,True,0.0,413
0.0,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,0.8426150121065376,0.8062953995157385,0.87409200968523,0.0,0.0,0.0,False,0.09927360774818395,413
0.0,block3_h72_seed14,"3-block, H=72",rf_expected_utility,0.8523002421307506,0.8159806295399515,0.8861985472154964,0.009685230024213076,-0.012106537530266344,0.03389830508474576,False,0.08958837772397088,413
0.0,block3_h72_seed14,"3-block, H=72",logreg_oracle_label,0.8232445520581114,0.784503631961259,0.8571428571428571,-0.01937046004842615,-0.048426150121065374,0.009685230024213076,False,0.11864406779661008,413
0.0,block3_h72_seed14,"3-block, H=72",rf_oracle_label,0.8232445520581114,0.7869249394673123,0.8595641646489104,-0.01937046004842615,-0.04600484261501211,0.007263922518159807,False,0.11864406779661008,413
0.01,block3_h72_seed14,"3-block, H=72",best_fixed_Medium,0.8387886410208368,0.8024690284300379,0.8726869461055826,0.0,0.0,0.0,False,0.1009923250966488,413
0.01,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.9397809661174856,0.9156082905823614,0.9615618293879378,0.1009923250966488,,,True,0.0,413
0.01,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,0.8388551917714429,0.8024479508302459,0.8727773838220311,6.655075060599964e-05,3.327537530299982e-05,9.994496653508204e-05,True,0.10092577434604277,413
0.01,block3_h72_seed14,"3-block, H=72",rf_expected_utility,0.8494286294931526,0.8132018756045438,0.8833980881507834,0.010639988472315664,-0.011241376451935134,0.03242171969904793,False,0.09035233662433306,413
0.01,block3_h72_seed14,"3-block, H=72",logreg_oracle_label,0.8145870293506797,0.7781792796409523,0.8506951086368706,-0.024201611670157327,-0.05119782964911392,0.004957952810493428,False,0.1251939367668059,413
0.01,block3_h72_seed14,"3-block, H=72",rf_oracle_label,0.8204771303007753,0.7817143824464061,0.8567886191636198,-0.01831151072006152,-0.047343191607338714,0.008494389157713661,False,0.11930383581671034,413
0.02,block3_h72_seed14,"3-block, H=72",best_fixed_Medium,0.8349622699351362,0.7986426573443371,0.868860575019882,0.0,0.0,0.0,False,0.10271104244511342,413
0.02,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.9376733123802496,0.9157118539189497,0.9594586463335281,0.10271104244511342,,,True,0.0,413
0.02,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,0.8351429076867811,0.8011020698823874,0.8690602272716998,0.00018063775164486127,0.00010457975095228811,0.0002566957523374344,True,0.10253040469346852,413
0.02,block3_h72_seed14,"3-block, H=72",rf_expected_utility,0.8490424400628922,0.812796084218044,0.8827399656363982,0.014080170127755995,-0.007625555106312973,0.03594950915658134,False,0.08863087231735745,413
0.02,block3_h72_seed14,"3-block, H=72",logreg_oracle_label,0.8059295066432478,0.7672149691653861,0.8420623207371594,-0.029032763291888426,-0.05869296993099119,-1.3879444389664751e-05,False,0.13174380573700184,413
0.02,block3_h72_seed14,"3-block, H=72",rf_oracle_label,0.8177097085434395,0.7787669689883985,0.8540445958052537,-0.017252561391696817,-0.04631216154846922,0.011625448614036306,False,0.11996360383681015,413
0.05,block3_h72_seed14,"3-block, H=72",best_fixed_Medium,0.8234831566780345,0.7871635440872355,0.8573814617627803,0.0,0.0,0.0,False,0.10786719449050786,413
